Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm),clayey,floamy,sandy,clayskeletal
29-01-2020,Arunachal Pradesh,Papum Pare,0,537.79,0,27.8373892,,,,
29-01-2020,Arunachal Pradesh,Lower Subansiri,0,347.14,0.02,27.38259136,0.607903797468354,0.137273417721519,0.0844075949367089,0.0
29-01-2020,Arunachal Pradesh,West Kameng,0.02,504.61,0.31,18.75139576,0.0859306930693069,0.20214504950495,0.109259900990099,0.0
29-01-2020,Arunachal Pradesh,East Siang,0,573.63,0,29.95430931,0.0683794117647059,0.671938235294118,0.0,0.0
29-01-2020,Arunachal Pradesh,Upper Siang,0,822.14,0,23.68290798,0.365096226415094,0.0004766037735849,0.0,0.0
29-01-2020,Arunachal Pradesh,Lohit,0,492.75,0.02,24.73052697,0.132099193548387,0.5463709677419359,0.0254427419354839,0.0
29-01-2020,Arunachal Pradesh,Anjaw,0,654.92,0,19.64373056,0.0987915966386555,0.0938739495798319,0.0036563025210083,0.0
29-01-2020,Arunachal Pradesh,West Siang,0,1211.36,0.03,29.78483215,0.911572727272727,0.0006945454545454,0.0,0.0
28-01-2020,Arunachal Pradesh,Upper Subansiri,0,798.48,0,24.29518235,0.291949224806202,0.0981441860465116,0.0701286821705425,0.0
28-01-2020,Arunachal Pradesh,Tirap,0,317.87,0,30.65085907,0.29950625,0.105552083333333,0.0,0.133483333333333
28-01-2020,Arunachal Pradesh,Kurung Kumey,0,942.1,0,27.12669148,0.479027428571429,0.107082857142857,0.0092651428571428,0.0
28-01-2020,Arunachal Pradesh,East Kameng,0,774.16,0,25.22728152,0.204567231638418,0.433333898305085,0.0141361581920904,0.0
28-01-2020,Arunachal Pradesh,Changlang,0,745.24,0,28.93486301,0.205022842639594,0.369535532994924,0.0,0.0030147208121827
28-01-2020,Arunachal Pradesh,Tawang,0,169.6,0,14.06681005,0.0,0.0,0.0698340206185567,0.0
28-01-2020,Arunachal Pradesh,Lower Dibang Valley,0.01,679.15,0.07,23.30211479,0.0981612676056338,0.539806338028169,0.0025288732394366,0.0
28-01-2020,Arunachal Pradesh,Dibang Valley,0,610.76,0,16.05814631,0.0667080519480519,0.0406025974025974,0.0,0.0
28-01-2020,Arunachal Pradesh,Papum Pare,0.06,565.97,0.4,29.29616456,,,,
28-01-2020,Arunachal Pradesh,Lower Subansiri,0,340,0,26.81967912,0.607903797468354,0.137273417721519,0.0844075949367089,0.0
28-01-2020,Arunachal Pradesh,West Kameng,0.02,506.61,0.32,18.82566803,0.0859306930693069,0.20214504950495,0.109259900990099,0.0
28-01-2020,Arunachal Pradesh,East Siang,0,577.39,0,30.15086278,0.0683794117647059,0.671938235294118,0.0,0.0
28-01-2020,Arunachal Pradesh,Upper Siang,0,820.99,0,23.64967499,0.365096226415094,0.0004766037735849,0.0,0.0
28-01-2020,Arunachal Pradesh,Lohit,0,496.25,0.02,24.90596188,0.132099193548387,0.5463709677419359,0.0254427419354839,0.0
28-01-2020,Arunachal Pradesh,Anjaw,0,650.25,0,19.50368017,0.0987915966386555,0.0938739495798319,0.0036563025210083,0.0
28-01-2020,Arunachal Pradesh,West Siang,0,1209.29,0.02,29.73385313,0.911572727272727,0.0006945454545454,0.0,0.0
27-01-2020,Arunachal Pradesh,Upper Subansiri,0,791.03,0,24.06866377,0.291949224806202,0.0981441860465116,0.0701286821705425,0.0
27-01-2020,Arunachal Pradesh,Tirap,0,317.86,0,30.64984624,0.29950625,0.105552083333333,0.0,0.133483333333333
27-01-2020,Arunachal Pradesh,Kurung Kumey,0,938.75,0,27.03038177,0.479027428571429,0.107082857142857,0.0092651428571428,0.0
27-01-2020,Arunachal Pradesh,East Kameng,0,769.67,0,25.08094673,0.204567231638418,0.433333898305085,0.0141361581920904,0.0
27-01-2020,Arunachal Pradesh,Changlang,0,751,0,29.15858015,0.205022842639594,0.369535532994924,0.0,0.0030147208121827
27-01-2020,Arunachal Pradesh,Tawang,0,169.38,0,14.04896778,0.0,0.0,0.0698340206185567,0.0
27-01-2020,Arunachal Pradesh,Lower Dibang Valley,0.01,682.74,0.08,23.42518168,0.0981612676056338,0.539806338028169,0.0025288732394366,0.0
27-01-2020,Arunachal Pradesh,Dibang Valley,0,610.84,0,16.06037822,0.0667080519480519,0.0406025974025974,0.0,0.0
27-01-2020,Arunachal Pradesh,Papum Pare,0,536.78,0,27.78515624,,,,
27-01-2020,Arunachal Pradesh,Lower Subansiri,0,337.99,0,26.66096053,0.607903797468354,0.137273417721519,0.0844075949367089,0.0
27-01-2020,Arunachal Pradesh,West Kameng,0.02,504.92,0.33,18.76298089,0.0859306930693069,0.20214504950495,0.109259900990099,0.0
27-01-2020,Arunachal Pradesh,East Siang,0,582.82,0,30.4339785,0.0683794117647059,0.671938235294118,0.0,0.0
27-01-2020,Arunachal Pradesh,Upper Siang,0,823.62,0,23.72537874,0.365096226415094,0.0004766037735849,0.0,0.0
27-01-2020,Arunachal Pradesh,Lohit,0.01,500.78,0.03,25.13355342,0.132099193548387,0.5463709677419359,0.0254427419354839,0.0
27-01-2020,Arunachal Pradesh,Anjaw,0,651.32,0,19.53574829,0.0987915966386555,0.0938739495798319,0.0036563025210083,0.0
27-01-2020,Arunachal Pradesh,West Siang,0,1211.54,0.02,29.78921444,0.911572727272727,0.0006945454545454,0.0,0.0
26-01-2020,Arunachal Pradesh,Upper Subansiri,0,791.99,0,24.09769586,0.291949224806202,0.0981441860465116,0.0701286821705425,0.0
26-01-2020,Arunachal Pradesh,Tirap,0,319.69,0,30.82614619,0.29950625,0.105552083333333,0.0,0.133483333333333
26-01-2020,Arunachal Pradesh,Kurung Kumey,0,939.66,0,27.05649448,0.479027428571429,0.107082857142857,0.0092651428571428,0.0
26-01-2020,Arunachal Pradesh,East Kameng,0,775.29,0,25.26423797,0.204567231638418,0.433333898305085,0.0141361581920904,0.0
26-01-2020,Arunachal Pradesh,Changlang,0,758.68,0,29.45677193,0.205022842639594,0.369535532994924,0.0,0.0030147208121827
26-01-2020,Arunachal Pradesh,Tawang,0,169.6,0,14.06713603,0.0,0.0,0.0698340206185567,0.0
26-01-2020,Arunachal Pradesh,Lower Dibang Valley,0.02,687.83,0.1,23.59973066,0.0981612676056338,0.539806338028169,0.0025288732394366,0.0
26-01-2020,Arunachal Pradesh,Dibang Valley,0,613.53,0.01,16.1308432,0.0667080519480519,0.0406025974025974,0.0,0.0
26-01-2020,Arunachal Pradesh,Papum Pare,0,541.24,0,28.01619837,,,,
26-01-2020,Arunachal Pradesh,Lower Subansiri,0,338.37,0,26.69051519,0.607903797468354,0.137273417721519,0.0844075949367089,0.0
26-01-2020,Arunachal Pradesh,West Kameng,0.02,506.48,0.34,18.8209976,0.0859306930693069,0.20214504950495,0.109259900990099,0.0
26-01-2020,Arunachal Pradesh,East Siang,0,589.07,0,30.76046408,0.0683794117647059,0.671938235294118,0.0,0.0
26-01-2020,Arunachal Pradesh,Upper Siang,0,828.76,0,23.87351701,0.365096226415094,0.0004766037735849,0.0,0.0
26-01-2020,Arunachal Pradesh,Lohit,0.01,505.76,0.04,25.3832238,0.132099193548387,0.5463709677419359,0.0254427419354839,0.0
26-01-2020,Arunachal Pradesh,Anjaw,0,655.22,0,19.65250494,0.0987915966386555,0.0938739495798319,0.0036563025210083,0.0
26-01-2020,Arunachal Pradesh,West Siang,0,1217.92,0.02,29.94603757,0.911572727272727,0.0006945454545454,0.0,0.0
25-01-2020,Arunachal Pradesh,Upper Subansiri,0,806.71,0,24.54558147,0.291949224806202,0.0981441860465116,0.0701286821705425,0.0
