Timestamp,Temperature (C),Humidity (%)
2025-08-12 14:48:01,30.9,67,1023
2025-08-12 14:48:22,30.2,68,1023
2025-08-12 14:48:32,30.6,67,1023
2025-08-12 14:48:42,30.4,68,1022
2025-08-12 14:48:52,30.8,67,1023
2025-08-12 14:49:03,30.8,67,1021
2025-08-12 14:49:13,30.2,67,1022
2025-08-12 14:49:23,30.0,68,1023
2025-08-12 14:49:33,30.2,68,1023
2025-08-12 14:49:54,30.4,67,1023
2025-08-12 14:50:25,30.2,68,1022
2025-08-12 14:50:35,30.4,68,1022
2025-08-12 14:50:56,30.1,68,1023
2025-08-12 14:51:06,30.6,68,1023
2025-08-12 14:51:16,30.6,68,1023
2025-08-12 14:51:26,30.5,68,1022
2025-08-12 14:51:37,30.4,68,1023
2025-08-12 14:51:47,30.3,68,1023
2025-08-12 14:51:57,30.5,68,1023
2025-08-12 14:52:18,30.1,68,1022
2025-08-12 14:52:28,30.0,68,1020
2025-08-12 14:52:38,30.0,68,1023
2025-08-12 14:52:49,30.4,68,1023
2025-08-12 14:52:59,30.1,68,1023
2025-08-12 14:53:09,30.5,68,1023
2025-08-12 14:53:19,30.6,68,1023
2025-08-12 14:53:30,30.0,68,1023
2025-08-12 14:53:40,30.6,68,1022
2025-08-12 14:53:50,30.6,68,1023
2025-08-12 14:54:00,30.7,68,1023
2025-08-12 14:54:21,30.7,68,1023
2025-08-12 14:54:41,30.5,68,1022
2025-08-12 14:55:02,30.3,68,1023
2025-08-12 14:55:12,30.3,68,1023
2025-08-12 14:55:33,30.4,68,1023
2025-08-12 14:55:43,30.8,68,1023
2025-08-12 14:55:53,30.0,68,1023
2025-08-12 14:56:04,30.9,68,1023
2025-08-12 14:56:34,30.3,68,1023
2025-08-12 14:56:45,30.4,68,1023
2025-08-12 14:56:55,30.4,68,1023
2025-08-12 14:57:05,30.2,68,1023
2025-08-12 14:57:46,30.4,68,1023
2025-08-12 14:57:57,30.3,68,1023
2025-08-12 14:58:07,30.1,68,1023
2025-08-12 17:37:02,0.5,0,22
2025-08-12 17:37:12,30.3,79,1023
2025-08-12 17:37:22,30.9,79,1023
2025-08-12 17:37:32,30.2,79,22
2025-08-12 17:37:53,30.6,79,1023
2025-08-12 17:38:14,30.6,80,1023
2025-08-12 17:38:57,30.7,80,22
2025-08-12 17:39:07,30.6,80,1023
2025-08-12 17:39:27,30.9,80,1023
2025-08-12 17:39:38,30.3,80,22
2025-08-12 17:39:48,30.4,80,1023
2025-08-12 17:42:36,30.7,80,5
2025-08-12 17:42:46,30.7,78,882
2025-08-12 17:42:56,30.1,78,880
2025-08-12 17:43:17,30.1,78,878
2025-08-12 17:43:37,30.6,78,881
2025-08-12 17:43:47,30.3,78,879
2025-08-12 21:44:23,0.1,0,1023
2025-08-12 21:44:33,29.7,76,1023
2025-08-12 21:44:43,29.7,76,1023
2025-08-12 21:44:54,29.1,76,1023
2025-08-12 21:45:04,29.3,76,1023
2025-08-12 21:45:25,29.4,76,1023
2025-08-12 21:45:35,29.2,76,1023
2025-08-12 21:45:55,29.1,76,1023
2025-08-12 21:46:06,29.7,76,1023
2025-08-12 21:46:16,29.6,76,1023
2025-08-12 21:46:26,29.1,76,1023
2025-08-12 21:46:47,29.7,76,1023
2025-08-12 21:46:57,29.8,76,1023
2025-08-12 21:47:07,29.5,76,1023
2025-08-12 21:47:17,29.5,76,1023
2025-08-12 21:47:28,29.8,75,1023
2025-08-12 21:47:38,29.6,75,1023
2025-08-12 21:47:48,29.7,75,1023
2025-08-12 21:47:59,29.9,75,1023
2025-08-12 21:48:09,29.5,75,1023
2025-08-12 21:48:19,29.4,75,1023
2025-08-12 21:48:29,29.0,75,1023
2025-08-12 21:48:40,29.6,75,1023
2025-08-12 21:48:50,29.6,75,1023
2025-08-12 21:49:00,29.6,75,1023
2025-08-12 21:49:10,29.5,75,1023
2025-08-12 21:49:21,29.2,75,1023
2025-08-12 21:49:31,29.1,75,1023
2025-08-12 21:49:41,29.1,75,1023
2025-08-12 21:50:02,29.1,75,1023
2025-08-12 21:50:12,29.7,75,1023
2025-08-12 21:50:22,29.3,75,1023
2025-08-12 21:50:33,29.4,75,1023
2025-08-12 21:50:43,29.0,75,1023
2025-08-12 21:51:03,29.7,75,1023
2025-08-12 21:51:14,29.6,75,1023
2025-08-12 21:51:45,30.1,75,1023
2025-08-12 21:51:55,30.7,75,1023
2025-08-12 21:52:05,30.2,75,1023
2025-08-12 21:52:15,30.7,75,1023
2025-08-12 21:52:26,30.4,75,1023
2025-08-12 21:52:36,30.1,75,1023
2025-08-12 21:52:56,30.5,75,1023
2025-08-12 21:53:17,30.4,75,1023
2025-08-12 21:53:48,30.5,74,1023
2025-08-12 21:54:39,30.1,75,1023
2025-08-12 21:55:42,30.4,75,1023
2025-08-12 21:56:13,30.4,75,1023
2025-08-12 21:56:23,30.0,75,1023
2025-08-12 21:56:44,30.9,75,1023
2025-08-12 21:56:54,30.4,75,1023
2025-08-12 21:57:04,30.2,75,1023
2025-08-12 21:57:14,30.8,75,1023
2025-08-12 21:57:25,30.3,75,1023
2025-08-12 21:57:35,30.6,75,1023
2025-08-12 21:58:06,30.0,75,1023
2025-08-12 21:58:16,30.7,75,1023
2025-08-12 21:58:26,30.2,75,1023
2025-08-12 21:58:37,30.7,75,1023
2025-08-12 21:58:57,30.7,75,1023
2025-08-12 21:59:07,30.3,75,1023
2025-08-12 21:59:18,30.9,75,1023
2025-08-12 21:59:28,30.4,75,1023
2025-08-12 21:59:38,30.9,75,1023
2025-08-12 21:59:48,30.5,75,1023
2025-08-12 21:59:59,30.2,75,1023
2025-08-12 22:00:09,30.8,75,1023
2025-08-12 22:00:19,30.2,75,1023
2025-08-12 22:00:40,30.4,75,1023
2025-08-12 22:00:50,30.2,75,1023
2025-08-12 22:01:00,30.8,75,1023
2025-08-12 22:01:21,30.1,75,1023
2025-08-12 22:01:31,30.4,75,1023
2025-08-12 22:01:52,30.1,75,1023
2025-08-12 22:02:02,30.5,75,1023
2025-08-12 22:02:12,30.5,75,1023
2025-08-12 22:02:22,30.7,74,1023
2025-08-12 22:02:43,30.0,75,1023
2025-08-12 22:03:04,30.4,75,1023
2025-08-12 22:03:14,30.2,75,1023
2025-08-12 22:03:34,30.2,75,1023
2025-08-12 22:03:45,30.1,75,1023
2025-08-12 22:03:55,30.9,75,1023
2025-08-12 22:04:05,30.8,75,1023
2025-08-12 22:04:15,30.7,75,1023
2025-08-12 22:04:36,30.3,75,1023
2025-08-12 22:04:57,30.7,75,1023
2025-08-12 22:05:07,30.7,75,1023
2025-08-12 22:05:17,30.1,75,1023
2025-08-12 22:05:27,30.5,75,1023
2025-08-12 22:05:38,30.6,75,1023
2025-08-12 22:05:48,30.4,75,1023
2025-08-12 22:06:19,30.6,75,1023
2025-08-12 22:06:29,30.2,75,1023
2025-08-12 22:06:39,30.2,75,1023
2025-08-12 22:07:10,30.7,75,1023
2025-08-12 22:07:20,30.4,75,1023
2025-08-12 22:07:31,30.0,75,1023
2025-08-12 22:07:41,30.2,75,1023
2025-08-12 22:08:01,30.1,75,1023
2025-08-12 22:08:12,30.5,75,1023
2025-08-12 22:08:22,30.1,74,1023
2025-08-12 22:08:32,30.4,75,1023
2025-08-12 22:08:42,30.2,75,1023
2025-08-12 22:10:15,30.2,75,1023
2025-08-12 22:10:36,30.3,75,1023
2025-08-12 22:10:46,30.7,75,1023
2025-08-12 22:11:27,30.3,75,1023
2025-08-12 22:11:48,30.7,75,1023
2025-08-12 22:12:08,30.3,74,1023
2025-08-12 22:12:18,30.3,74,1023
2025-08-12 22:12:29,30.0,75,1023
2025-08-12 22:12:49,30.8,75,1023
2025-08-12 22:13:00,30.0,75,1023
2025-08-12 22:13:10,30.8,75,1023
2025-08-12 22:13:20,30.4,75,1023
2025-08-12 22:13:41,30.6,75,1023
2025-08-12 22:14:01,30.7,75,1023
2025-08-12 22:14:22,30.7,75,1023
2025-08-12 22:14:32,30.3,75,1023
2025-08-12 22:15:13,30.7,75,1023
2025-08-12 22:15:23,30.4,75,1023
2025-08-12 22:15:34,30.5,75,1023
2025-08-12 22:15:44,30.6,75,1023
2025-08-12 22:16:04,30.5,75,1023
2025-08-12 22:16:25,30.5,75,1023
2025-08-12 22:16:56,30.9,75,1023
2025-08-12 22:17:16,30.9,75,1023
2025-08-12 22:17:37,30.3,75,1023
2025-08-12 22:17:47,30.7,75,1023
2025-08-12 22:17:57,30.7,75,1023
2025-08-12 22:18:08,30.1,75,1023
2025-08-12 22:18:28,30.1,75,1023
2025-08-12 22:18:49,30.1,75,1023
2025-08-12 22:18:59,30.8,75,1023
2025-08-12 22:19:09,30.3,75,1023
2025-08-12 22:19:30,30.9,75,1023
2025-08-12 22:20:58,30.7,75,7
2025-08-12 22:21:08,30.1,75,330
2025-08-12 22:21:39,30.1,75,324
2025-08-12 22:22:41,30.8,76,323
2025-08-12 22:23:01,30.7,76,334
2025-08-12 22:24:03,29.8,77,322
2025-08-12 22:24:13,29.5,77,320
2025-08-12 22:24:34,29.1,77,320
2025-08-12 22:24:44,29.9,77,320
2025-08-12 22:24:54,29.1,77,319
2025-08-12 22:25:15,29.3,77,318
2025-08-12 22:25:25,29.6,78,318
2025-08-12 22:25:35,29.8,78,317
2025-08-12 22:25:46,29.2,78,317
2025-08-12 22:25:56,29.5,78,315
2025-08-12 22:26:16,29.7,78,316
2025-08-12 22:26:57,29.1,78,315
2025-08-12 22:27:08,29.6,78,315
2025-08-12 22:27:18,29.0,78,314
2025-08-12 22:27:49,29.4,78,314
2025-08-12 22:27:59,29.4,78,314
2025-08-12 22:28:09,29.8,78,314
2025-08-12 22:28:20,29.8,78,313
2025-08-12 22:28:30,29.0,78,312
2025-08-12 22:28:40,29.7,78,313
2025-08-12 22:28:50,29.9,78,311
2025-08-12 22:29:01,29.2,78,311
2025-08-12 22:29:21,29.6,78,314
2025-08-12 22:29:31,29.9,78,310
