District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,floamy_count,floamy_sum,floamy_mean
KOKRAJHAR,ASSAM,,18,"294",370102.89945800003,3005469475.00000000000,125,993367,7946.936
LAKHIMPUR,ASSAM,,18,"295",372367.88503300003,2888806626.55000019073,121,835718,6906.76033057851
MAJULI,ASSAM,Not Verified on Ground,18,"706",187633.77704099999,760410814.68700003624,51,185811,3643.35294117647
MARIGAON,ASSAM,,18,"296",225512.75186200000,1483599654.86999988556,60,303177,5052.95
NAGAON,ASSAM,NOT VERIFIED,18,"297",595983.80540099996,2482159569.61999988556,102,607293,5953.85294117647
NALBARI,ASSAM,,18,"298",235768.40190699999,1020897077.31000006199,40,305782,7644.55
SIBSAGAR,ASSAM,NOT VERIFIED,18,"300",266939.34807800001,1512179589.01000022888,66,534232,8094.42424242424
SONITPUR,ASSAM,NOT VERIFIED,18,"301",302021.09840199997,3318736009.51999998093,120,934673,7788.94166666667
SOUTH SALMARA MANCACHAR,ASSAM,Not Verified on Ground,18,"707",234231.82711600000,657868873.69900000095,24,22829,951.208333333333
TINSUKIA,ASSAM,,18,"302",419712.54077000002,3677171930.98000001907,152,1131339,7443.0197368421
UDALGURI,ASSAM,,18,"617",363765.33847800002,1977227539.25000000000,84,744922,8868.11904761905
WEST KARBI ANGLONG,ASSAM,Not Verified on Ground,18,"710",430785.10403699998,2957339839.67000007629,124,710597,5730.62096774194
